,STUSAB,Geo Point,Geo Shape,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,COUNTYFP NOZERO
1,CA,"37.938990343, -118.886709262","{""coordinates"":[[[-119.308904,38.007149],[-119.30886,38.007421],[-119.308362,38.009191],[-119.307177,38.011418],[-119.307034,38.012322],[-119.307786,38.013209],[-119.30869,38.015239],[-119.308489,38.0",6,51,277290,6051,Mono,Mono County,6,H1,G4020,,,,A,"7,896,838,483","214,695,677",37.9158363,-118.8751668,51
2,CA,"36.0753604529, -119.815502709","{""coordinates"":[[[-119.958925,36.255468],[-119.958926,36.25553],[-119.958946,36.25594],[-119.958946,36.25624],[-119.958926,36.257675],[-119.958917,36.257835],[-119.958913,36.257914],[-119.95891,36.257",6,31,277280,6031,Kings,Kings County,6,H1,G4020,260,25260,,A,"3,600,883,803","3,162,664",36.072478,-119.8155301,31
3,CA,"36.6057058971, -121.074995529","{""coordinates"":[[[-121.483002,36.76505],[-121.483508,36.764684],[-121.483917,36.764478],[-121.484332,36.764237],[-121.484726,36.764142],[-121.484955,36.764121],[-121.485288,36.76409],[-121.485467,36.7",6,69,277299,6069,San Benito,San Benito County,6,H1,G4020,488,41940,,A,"3,596,591,082","4,719,300",36.6116507,-121.0858108,69
4,CA,"36.7581801263, -119.649322632","{""coordinates"":[[[-120.422187,36.840139],[-120.421716,36.83994],[-120.420491,36.839048],[-120.419678,36.838311],[-120.419233,36.837475],[-120.418762,36.836558],[-120.417949,36.836072],[-120.417095,36.",6,19,277274,6019,Fresno,Fresno County,6,H1,G4020,260,23420,,A,"15,432,139,300","136,609,898",36.7610058,-119.6550193,19
5,CA,"40.0046824769, -120.838597596","{""coordinates"":[[[-121.367008,40.077673],[-121.366883,40.083641],[-121.36687,40.083783],[-121.366818,40.086054],[-121.371768,40.086074],[-121.374941,40.086045],[-121.375624,40.086058],[-121.37608,40.0",6,63,277296,6063,Plumas,Plumas County,6,H1,G4020,,,,A,"6,612,400,910","156,387,636",39.9922953,-120.8243709,63
6,CA,"39.5804001016, -120.515996378","{""coordinates"":[[[-120.655585,39.69356],[-120.655524,39.693617],[-120.655409,39.693842],[-120.655252,39.693906],[-120.654887,39.693938],[-120.65473,39.694115],[-120.654708,39.6943],[-120.654955,39.695",6,91,277310,6091,Sierra,Sierra County,6,H1,G4020,,,,A,"2,468,694,583","23,299,110",39.5769252,-120.5219926,91
7,CA,"37.2180440575, -119.762644507","{""coordinates"":[[[-120.106385,37.167153],[-120.105773,37.16727],[-120.103938,37.167622],[-120.103327,37.16774],[-120.103268,37.167782],[-120.103094,37.16791],[-120.103036,37.167954],[-120.102623,37.16",6,39,277284,6039,Madera,Madera County,6,H1,G4020,260,31460,,A,"5,534,617,472","42,245,931",37.2098213,-119.7498023,39
8,CA,"39.4336238198, -123.431553907","{""coordinates"":[[[-123.838411,39.554916],[-123.839652,39.556471],[-123.840835,39.56035],[-123.843584,39.566063],[-123.846375,39.571674],[-123.849387,39.57829],[-123.850624,39.584478],[-123.852516,39.5",6,45,277287,6045,Mendocino,Mendocino County,6,H1,G4020,,46380,,A,"9,081,426,663","962,946,206",39.4323876,-123.4428811,45
9,CA,"38.05518334, -122.748858563","{""coordinates"":[[[-122.786391,37.886947],[-122.787037,37.88812],[-122.788221,37.891027],[-122.789027,37.893763],[-122.793105,37.895005],[-122.80034,37.897078],[-122.806389,37.898803],[-122.80749,37.89",6,41,277285,6041,Marin,Marin County,6,H1,G4020,488,41860,42034,A,"1,347,950,152","797,055,812",38.0518169,-122.7459738,41
10,CA,"35.38741848, -120.452196945","{""coordinates"":[[[-121.185056,35.794161],[-121.184628,35.794156],[-121.184606,35.794156],[-121.183421,35.794149],[-121.178675,35.79412],[-121.175695,35.794102],[-121.173135,35.794086],[-121.172274,35.",6,79,277304,6079,San Luis Obispo,San Luis Obispo County,6,H1,G4020,,42020,,A,"8,548,557,892","815,573,121",35.3852242,-120.4475445,79
11,CA,"40.7637666014, -122.040521531","{""coordinates"":[[[-122.61527,40.881068],[-122.61473,40.88167],[-122.614419,40.881974],[-122.614252,40.882103],[-122.614073,40.882222],[-122.613915,40.882311],[-122.613184,40.882674],[-122.61259,40.883",6,89,1682610,6089,Shasta,Shasta County,6,H1,G4020,454,39820,,A,"9,778,407,493","186,302,040",40.7605142,-122.0435556,89
