death_rate,county,test,cumulative_reported_deaths,land_area_sq_mi,location,unemployment,vaccinated,labor_rate,hospital_bed,icu_bed,cumulative_cases,lat,lon
0.132131627,Alameda,463.3255748,2059,739.02,costal,6.06,83.16546908,48.04595329,0.176049863,0.018803169,356253,37.6471385,-121.912488
0.01,Alpine,279.7672337,0,738.33,inland,7.69,57.564906,46.55326768,NA,NA,138,38.6217831,-119.7983522
0.256554722,Amador,643.4818717,95,594.58,inland,6.97,58.17653318,37.21678648,0.142742208,0.015571877,10132,38.4435501,-120.6538563
0.223529015,Butte,244.6096552,465,1636.46,inland,6.85,54.41224417,42.24660076,0.225927474,0.011480055,40206,39.6659588,-121.6019188
0.314816094,Calaveras,265.0906546,135,1020.01,inland,5.75,55.87391903,48.31899569,0.704463862,0.058705322,8651,38.1838996,-120.5614415
0.107375293,Colusa,194.0778117,22,1150.73,inland,12.48,58.52697738,47.5368477,0.389501173,0.026556898,3840,39.1777385,-122.2375629
0.137833918,Contra Costa,370.0448841,1483,715.94,costal,6.36,83.66570439,46.75463042,0.140332851,0.021118887,256191,37.919479,-121.9515431
0.21683649,Del Norte,798.5666594,57,1006.37,costal,7.63,49.28514406,33.78329342,0.232237463,0.025400972,7502,41.763958,-124.003614
0.130664119,El Dorado,244.0610467,233,1707.88,inland,5.71,61.82870874,47.17811681,0.148629193,0.04142974,33057,38.7856116,-120.5342245
0.290267809,Fresno,303.8053645,2893,5957.99,inland,9.18,60.74904067,42.9556677,0.215359606,0.038073021,278793,36.7610058,-119.6550193
0.207628458,Glenn,188.8476216,58,1313.95,inland,6.97,54.3171596,43.00122666,0.160147199,0,5625,39.6025462,-122.4016998
0.129315724,Humboldt,288.789542,160,3567.98,costal,6.3,68.58491551,43.77395636,0.262494594,0.015660189,22351,40.7066554,-123.9261757
0.511437524,Imperial,358.5633111,961,4176.6,inland,17.37,94.09284682,36.05549729,0.182103742,0.012522893,66747,33.0408143,-115.3554001
0.335150382,Inyo,244.3830272,60,10180.87,inland,5.83,63.31761773,44.59979407,0.4823064,0.032515038,4557,36.561977,-117.4039269
0.272064964,Kern,303.750333,2430,8131.91,inland,10.05,53.27996411,41.41273506,0.197573257,0.012078714,221639,35.3466288,-118.7295064
0.305952545,Kings,536.5280867,463,1389.42,inland,9.66,45.35424817,35.7316356,0.142543019,0.010866508,60457,36.072478,-119.8155301
0.239686609,Lake,277.8529697,149,1256.46,inland,7.61,55.41613356,43.73294693,0.28518136,0.040079542,13042,39.0948019,-122.7467569
0.226198237,Lassen,983.9481124,65,4541.18,inland,5.9,29.7821387,30.4673208,0.216198237,0,10091,40.7210862,-120.6299518
0.340312569,Los Angeles,732.6230115,33882,4057.88,costal,8.91,73.34480325,48.68703142,0.233866602,0.014642863,3332327,34.1963983,-118.2618616
0.245494006,Madera,388.9954963,377,2137.07,inland,8.89,54.82262991,38.66599204,0.354802641,0.033106584,44503,37.2098213,-119.7498023
0.130782209,Marin,435.4382669,315,520.31,costal,4.42,89.28796012,49.42484663,0.226226994,0.010736196,46293,38.0518169,-122.7459738
0.189825794,Mariposa,307.1705535,32,1448.82,inland,7.99,51.83478505,39.39308795,0.18544535,0,3156,37.5700295,-119.9128613
0.183000599,Mendocino,284.8686665,153,3506.34,costal,6.23,68.3985572,41.7462884,0.203530117,0.048621083,16255,39.4323876,-123.4428811
0.314780461,Merced,282.0673579,876,1934.97,inland,10.33,55.12420848,40.08071811,0.137081623,0.006262612,73259,37.1948063,-120.7228019
0.126094987,Modoc,104.5065963,11,3917.77,inland,7.21,39.37730871,33.66754617,0.432717678,0,895,41.5929185,-120.7183704
0.067302485,Mono,283.1100924,8,3048.98,inland,6.83,65.27469379,59.73784113,0.286512427,0.021488432,3233,37.9158363,-118.8751668
0.182708877,Monterey,312.2545305,775,3280.59,costal,8.26,72.16712871,47.22194985,0.202347949,0.02718772,95169,36.240107,-121.3155723
0.126002635,Napa,434.0539341,162,748.36,costal,5.99,79.49331195,48.97889038,0.362329218,0.042963939,32736,38.5070999,-122.3259045
0.143725053,Nevada,279.5471583,132,957.77,inland,5.59,64.963023,47.70539966,0.991794144,0.012156823,19310,39.2975082,-120.7713429
0.244317964,Orange,314.2436826,7565,790.57,costal,5.97,73.13520534,48.1304276,0.230074533,0.014402889,676959,33.6756872,-117.7772068
0.176069814,Placer,268.7174416,665,1407.01,inland,5,68.12183781,46.94906027,0.230499908,0.027719924,77331,39.0620323,-120.7227181
0.083695847,Plumas,277.1490235,14,2553.04,inland,9.49,55.12975733,38.8482392,0.268463442,0,3737,39.9922953,-120.8243709
0.2811348,Riverside,301.0584872,6692,7206.47,inland,7.33,60.26829866,45.76716522,0.244232004,0.016003922,704180,33.7298275,-116.0022389
0.225182002,Sacramento,337.9173775,3374,964.64,inland,6.96,68.53604171,45.53644031,0.368692103,0.012500199,353538,38.4500161,-121.3404408
0.178692012,San Benito,320.2164881,108,1388.71,costal,7.19,72.40479835,49.98281841,0.078098154,0.006247852,16474,36.6116507,-121.0858108
0.377638106,San Bernardino,342.2143882,8152,20056.92,inland,7.43,57.26874472,44.58378694,0.218183655,0.012492119,679620,34.8572198,-116.1811967
0.175024042,San Diego,390.5109396,5562,4206.63,costal,6.47,75.56926174,45.80144065,0.20846079,0.012669052,938583,33.0236041,-116.7761174
0.130589949,San Francisco,551.2055633,1076,46.87,costal,5.04,84.64898911,61.19155422,0.297888555,0.017371229,183671,37.7272391,-123.0322294
0.30953549,San Joaquin,343.4992237,2344,1391.32,inland,8.67,65.04852756,42.71958801,0.182992671,0.010095266,200474,37.9349815,-121.272244
0.200058165,San Luis Obispo,392.9427459,530,3298.56,costal,5.25,66.27256492,48.51862211,0.188623764,0.347125101,63962,35.3852242,-120.4475445
0.106143835,San Mateo,578.6813899,748,448.41,costal,4.57,85.6665994,55.42409329,0.143830149,0.009254487,172573,37.4146725,-122.3715457
0.171052472,Santa Barbara,378.4928118,735,2735.08,costal,5.78,69.31303999,47.7679442,0.173761375,0.021692782,107184,34.5370572,-120.0399729
0.14000709,Santa Clara,561.2092489,2558,1290.1,costal,4.7,85.45252175,51.5149282,2.793576898,0.01214687,442182,37.2206954,-121.6905097
0.110730295,Santa Cruz,597.0441498,276,445.17,costal,6.9,77.1707196,48.68630907,0.14489104,0.013503699,64814,37.0124883,-122.007205
